sampleId	participant_id	MIC	run_accession	sample_accession	Experiment	Sample	SampleName	LibraryName	source_column	source_value	source_asv_column
sub-MIC048	sub-MIC048	MIC048	SRR25474183	SAMN36771254	SRX21206414	SRS18463891	MIC048	MIC048	SampleName	MIC048	SRR25474183
sub-MIC017	sub-MIC017	MIC017	SRR25474184	SAMN36771224	SRX21206413	SRS18463890	MIC017	MIC017	SampleName	MIC017	SRR25474184
sub-MIC016	sub-MIC016	MIC016	SRR25474185	SAMN36771223	SRX21206412	SRS18463887	MIC016	MIC016	SampleName	MIC016	SRR25474185
sub-MIC003	sub-MIC003	MIC003	SRR25474186	SAMN36771214	SRX21206411	SRS18463886	MIC003	MIC003	SampleName	MIC003	SRR25474186
sub-MIC002	sub-MIC002	MIC002	SRR25474187	SAMN36771213	SRX21206410	SRS18463889	MIC002	MIC002	SampleName	MIC002	SRR25474187
sub-MIC047	sub-MIC047	MIC047	SRR25474188	SAMN36771253	SRX21206409	SRS18463888	MIC047	MIC047	SampleName	MIC047	SRR25474188
sub-MIC009	sub-MIC009	MIC009	SRR25474189	SAMN36771217	SRX21206408	SRS18463885	MIC009	MIC009	SampleName	MIC009	SRR25474189
sub-MIC046	sub-MIC046	MIC046	SRR25474190	SAMN36771252	SRX21206407	SRS18463881	MIC046	MIC046	SampleName	MIC046	SRR25474190
sub-MIC045	sub-MIC045	MIC045	SRR25474191	SAMN36771251	SRX21206406	SRS18463884	MIC045	MIC045	SampleName	MIC045	SRR25474191
sub-MIC044	sub-MIC044	MIC044	SRR25474192	SAMN36771250	SRX21206405	SRS18463883	MIC044	MIC044	SampleName	MIC044	SRR25474192
sub-MIC043	sub-MIC043	MIC043	SRR25474193	SAMN36771249	SRX21206404	SRS18463882	MIC043	MIC043	SampleName	MIC043	SRR25474193
sub-MIC042	sub-MIC042	MIC042	SRR25474194	SAMN36771248	SRX21206403	SRS18463880	MIC042	MIC042	SampleName	MIC042	SRR25474194
sub-MIC041	sub-MIC041	MIC041	SRR25474195	SAMN36771247	SRX21206402	SRS18463879	MIC041	MIC041	SampleName	MIC041	SRR25474195
sub-MIC040	sub-MIC040	MIC040	SRR25474196	SAMN36771246	SRX21206401	SRS18463878	MIC040	MIC040	SampleName	MIC040	SRR25474196
sub-MIC039	sub-MIC039	MIC039	SRR25474197	SAMN36771245	SRX21206400	SRS18463877	MIC039	MIC039	SampleName	MIC039	SRR25474197
sub-MIC038	sub-MIC038	MIC038	SRR25474198	SAMN36771244	SRX21206399	SRS18463876	MIC038	MIC038	SampleName	MIC038	SRR25474198
sub-MIC037	sub-MIC037	MIC037	SRR25474199	SAMN36771243	SRX21206398	SRS18463875	MIC037	MIC037	SampleName	MIC037	SRR25474199
sub-MIC008	sub-MIC008	MIC008	SRR25474200	SAMN36771216	SRX21206397	SRS18463874	MIC008	MIC008	SampleName	MIC008	SRR25474200
sub-MIC036	sub-MIC036	MIC036	SRR25474201	SAMN36771242	SRX21206396	SRS18463872	MIC036	MIC036	SampleName	MIC036	SRR25474201
sub-MIC035	sub-MIC035	MIC035	SRR25474202	SAMN36771241	SRX21206395	SRS18463873	MIC035	MIC035	SampleName	MIC035	SRR25474202
sub-MIC034	sub-MIC034	MIC034	SRR25474203	SAMN36771240	SRX21206394	SRS18463869	MIC034	MIC034	SampleName	MIC034	SRR25474203
sub-MIC033	sub-MIC033	MIC033	SRR25474204	SAMN36771239	SRX21206393	SRS18463871	MIC033	MIC033	SampleName	MIC033	SRR25474204
sub-MIC032	sub-MIC032	MIC032	SRR25474205	SAMN36771238	SRX21206392	SRS18463870	MIC032	MIC032	SampleName	MIC032	SRR25474205
sub-MIC031	sub-MIC031	MIC031	SRR25474206	SAMN36771237	SRX21206391	SRS18463868	MIC031	MIC031	SampleName	MIC031	SRR25474206
sub-MIC029	sub-MIC029	MIC029	SRR25474207	SAMN36771236	SRX21206390	SRS18463867	MIC029	MIC029	SampleName	MIC029	SRR25474207
sub-MIC028	sub-MIC028	MIC028	SRR25474208	SAMN36771235	SRX21206389	SRS18463866	MIC028	MIC028	SampleName	MIC028	SRR25474208
sub-MIC027	sub-MIC027	MIC027	SRR25474209	SAMN36771234	SRX21206388	SRS18463865	MIC027	MIC027	SampleName	MIC027	SRR25474209
sub-MIC026	sub-MIC026	MIC026	SRR25474210	SAMN36771233	SRX21206387	SRS18463864	MIC026	MIC026	SampleName	MIC026	SRR25474210
sub-MIC005	sub-MIC005	MIC005	SRR25474211	SAMN36771215	SRX21206386	SRS18463862	MIC005	MIC005	SampleName	MIC005	SRR25474211
sub-MIC025	sub-MIC025	MIC025	SRR25474212	SAMN36771232	SRX21206385	SRS18463861	MIC025	MIC025	SampleName	MIC025	SRR25474212
sub-MIC024	sub-MIC024	MIC024	SRR25474213	SAMN36771231	SRX21206384	SRS18463863	MIC024	MIC024	SampleName	MIC024	SRR25474213
sub-MIC023	sub-MIC023	MIC023	SRR25474214	SAMN36771230	SRX21206383	SRS18463860	MIC023	MIC023	SampleName	MIC023	SRR25474214
sub-MIC022	sub-MIC022	MIC022	SRR25474215	SAMN36771229	SRX21206382	SRS18463857	MIC022	MIC022	SampleName	MIC022	SRR25474215
sub-MIC021	sub-MIC021	MIC021	SRR25474216	SAMN36771228	SRX21206381	SRS18463859	MIC021	MIC021	SampleName	MIC021	SRR25474216
sub-MIC020	sub-MIC020	MIC020	SRR25474217	SAMN36771227	SRX21206380	SRS18463858	MIC020	MIC020	SampleName	MIC020	SRR25474217
sub-MIC019	sub-MIC019	MIC019	SRR25474218	SAMN36771226	SRX21206379	SRS18463856	MIC019	MIC019	SampleName	MIC019	SRR25474218
sub-MIC018	sub-MIC018	MIC018	SRR25474219	SAMN36771225	SRX21206378	SRS18463855	MIC018	MIC018	SampleName	MIC018	SRR25474219
