clade_name	sub-MIC015	sub-MIC105	sub-MIC104	sub-MIC103	sub-MIC102	sub-MIC101	sub-MIC100	sub-MIC099	sub-MIC098	sub-MIC014	sub-MIC097	sub-MIC096	sub-MIC095	sub-MIC094	sub-MIC093	sub-MIC092	sub-MIC091	sub-MIC090	sub-MIC088	sub-MIC087	sub-MIC013	sub-MIC085	sub-MIC084	sub-MIC083	sub-MIC082	sub-MIC081	sub-MIC080	sub-MIC079	sub-MIC078	sub-MIC077	sub-MIC076	sub-MIC012	sub-MIC073	sub-MIC072	sub-MIC071	sub-MIC070	sub-MIC069	sub-MIC068	sub-MIC065	sub-MIC064	sub-MIC063	sub-MIC061	sub-MIC010	sub-MIC060	sub-MIC059	sub-MIC057	sub-MIC056	sub-MIC053	sub-MIC052	sub-MIC051	sub-MIC049	sub-MIC048	sub-MIC017	sub-MIC016	sub-MIC003	sub-MIC002	sub-MIC047	sub-MIC009	sub-MIC046	sub-MIC045	sub-MIC044	sub-MIC043	sub-MIC042	sub-MIC041	sub-MIC040	sub-MIC039	sub-MIC038	sub-MIC037	sub-MIC008	sub-MIC036	sub-MIC035	sub-MIC034	sub-MIC033	sub-MIC032	sub-MIC031	sub-MIC029	sub-MIC028	sub-MIC027	sub-MIC026	sub-MIC005	sub-MIC025	sub-MIC024	sub-MIC023	sub-MIC022	sub-MIC021	sub-MIC020	sub-MIC019	sub-MIC018
k__Bacteria___p__Planctomycetota___c__Planctomycetes___o__Gemmatales___f__Gemmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria___o__Acetobacterales___f__Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria___o__Caulobacterales___f__Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria___o__Hyphomicrobiales___f__Beijerinckiaceae	12	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	6	3	7	0	0	0	3	0	4	5	5	2	0	2	0	3	0	13	7	4	0	5	0	29	9	0	0	5	0	0	0	0	4	0	5	14	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria___o__Hyphomicrobiales___f__Rhizobiaceae	4	3	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	7	9	0	0	10	17	0	2	4	57	0	6	0	18	0	0	46	3	5	34	0	4	10	0	5	4	0	0	0	0	3	0	0	5	0	0	0	3	5	5	0	0	0	66	0	0	0	6	0	0	0	5	0	10	0	7	0
k__Bacteria___p__Pseudomonadota___c__Alphaproteobacteria___o__Sphingomonadales___f__Sphingomonadaceae	3	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	5	3	0	0	0	2	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	3	0	2	21	7
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	4	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Comamonadaceae	0	0	0	0	0	3	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	1	0	0	0	0	0	0	0	23	0	3	0	0	0	0	0	27	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Oxalobacteraceae	0	0	17	10	8	0	0	5	24	0	0	0	0	0	9	10	21	22	0	11	0	0	36	10	0	0	25	0	6	22	0	0	0	8	0	0	6	0	4	0	21	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	13	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Burkholderiales___f__Sutterellaceae	187	193	876	409	154	322	819	124	106	520	825	1688	632	286	277	169	489	148	547	197	52	114	34	719	820	1469	94	502	1114	761	940	109	1355	574	596	1309	335	52	466	334	593	1741	39	10	131	556	391	1352	362	759	20	28	344	400	551	303	148	133	220	0	324	288	64	317	36	600	19	1128	89	128	93	1433	265	360	343	223	188	19	163	35	639	493	653	173	228	449	13	97
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Enterobacteriaceae	0	9	186	0	72	0	50	27	11	18	3	0	67	281	13	15	73	1310	13	19	37	26	5	5	165	148	899	5445	953	409	23	0	184	242	920	0	0	9	9	7	2288	19	14	0	331	12	9	61	34	8	18	46	12	0	7	12	7	5	0	60	0	6	2	12	0	303	21	0	3	7	0	44	10	178	16	0	5	4	23	0	51	874	14	10	34	0	19	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Erwiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Hafniaceae	0	0	0	29	0	0	0	0	0	0	0	0	0	14	0	0	553	0	0	0	11	0	0	0	0	0	7	0	0	3310	0	0	0	0	0	0	0	0	0	0	17	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Idiomarinaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Pasteurellaceae	0	213	0	105	6	46	71	0	21	0	3	189	3	14	0	0	0	0	296	13	3	35	151	482	25	32	36	781	30	141	0	0	24	87	27	0	0	9	0	4	8	177	2	12	320	5	0	36	21	13	31	11	0	0	53	6	19	0	0	0	4	101	9	38	0	1515	39	28	2	0	45	6	0	2	0	0	0	18	0	0	6	2	35	54	10	3	0	4
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Pectobacteriaceae	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	17	5	0	0	0	0	0	0	0	0	0	0	7	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Succinivibrionaceae	0	67	0	0	7089	5906	0	23133	4475	0	0	110	0	0	247	27535	0	0	0	13785	0	0	0	5973	0	0	0	0	0	0	0	0	0	0	0	0	177	0	10	0	0	0	0	0	0	2315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	11852	0	4066	4510
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Enterobacterales___f__Yersiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Lysobacterales___f__Lysobacteraceae	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	6	9	3	0	0	0	0	0	7	0	0	0	0	7	0	4	0	0	5	7	0	4	0	11	0	0	0	0	0	0	0	0	2	0	0	4	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Pseudomonadales___f__Halomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Pseudomonadales___f__Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Pseudomonadota___c__Gammaproteobacteria___o__Pseudomonadales___f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	373	0	6	0	0	0	0	0	0	25	17	0	20	12	0	0	0	8	5	8	0	0	8	0	4	0	0	0	4	0	0	3	10	0	21	0	5	0	0	6	0	0	0	0	0	10	7	11
k__Bacteria___p__Spirochaetota___c__Spirochaetia___o__Spirochaetales___f__Spirochaetaceae	0	0	0	0	0	0	0	0	4204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	21272	0	0	13004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Synergistota___c__Synergistia___o__Synergistales___f__Synergistaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Thermodesulfobacteriota___c__Desulfovibrionia___o__Desulfovibrionales___f__Desulfovibrionaceae	20	319	150	27	69	77	4	264	505	3	6	426	167	11	146	309	131	295	7	93	2	69	72	632	83	247	566	51	513	104	0	2	26	45	64	19	97	166	644	27	25	0	18	10	79	7	103	0	65	100	2	0	7	4	0	10	38	19	0	0	3	0	43	0	188	0	8	6	26	0	4	19	4	16	18	155	17	0	11	167	45	14	7	16	11	0	0	3
k__Bacteria___p__Verrucomicrobiota___c__Lentisphaeria___o__Oligosphaerales___f__Oligosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	26	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Lentisphaeria___o__Victivallales___f__Victivallaceae	10	0	0	0	15	5	5	49	4	0	0	0	0	0	7	69	0	6	0	3	0	3	9	0	0	0	13	0	0	10	0	0	0	0	33	150	25	0	74	0	0	0	0	0	0	0	40	0	21	105	0	2	4	0	0	45	0	6	0	0	11	0	12	0	13	0	0	4	50	0	0	0	0	7	41	0	0	0	0	35	0	5	0	8	0	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Lentisphaeria___o__Victivallales___f__vadinBE97	0	0	0	0	0	0	0	23	0	0	0	0	4	0	119	36	13	0	0	71	0	0	0	0	0	0	20	0	0	13	0	0	0	0	4	10	91	0	20	0	0	0	0	0	0	0	238	0	29	56	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	19	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Verrucomicrobiia___o__Opitutales___f__Puniceicoccaceae	16	0	0	0	34	15	0	0	9	0	0	0	0	0	4	0	22	0	0	22	76	0	3	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	1442	0	0	0	2	0	0	0	113	0	200	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	17	51	0	9	0	0	0	0	0	0
k__Bacteria___p__Verrucomicrobiota___c__Verrucomicrobiia___o__Verrucomicrobiales___f__Akkermansiaceae	0	0	32	29	67	0	0	34	16	0	9	77	0	0	0	45	423	698	0	0	0	20	86	0	5	0	41	8	0	0	0	32	0	271	125	16	0	1095	0	0	404	0	21	8	10	0	61	0	22	0	0	0	0	0	11	77	0	0	115	12	0	0	60	0	4	0	0	0	60	0	0	0	0	0	435	1406	41	0	30	0	0	0	0	0	0	7	0	0
k__Archaea___p__Methanobacteriota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae___g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Schaalia	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Bifidobacterium	0	660	35	110	119	58	6	11	0	17	9	22	60	579	172	18	0	37	741	5	182	0	129	60	185	0	56	61	49	49	38	0	2520	586	136	11	221	27	0	3	63	0	0	78	14	524	111	0	40	254	0	0	18	30	80	0	188	14	73	0	50	0	398	5	110	0	0	137	0	50	0	44	43	0	0	35	22	0	0	31	8	10	12	0	4	7	28	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Neoscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Pseudoscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Micrococcales___f__Brevibacteriaceae___g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Micrococcales___f__Microbacteriaceae___g__Curtobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae___g__Renibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae___g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria___o__Mycobacteriales___f__Corynebacteriaceae___g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Coriobacteriaceae UCG-002	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Coriobacteriaceae UCG-003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Parolsenella	0	0	0	0	5	0	0	2	0	0	0	0	0	0	17	13	0	9	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Atopobiaceae___g__Tractidigestivibacter	0	0	0	0	16	2	0	0	0	0	0	0	0	0	11	0	0	10	2	1	0	0	0	3	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriaceae___g__Collinsella	0	13	24	18	48	11	38	103	19	9	3	11	80	19	52	159	31	130	64	20	9	0	38	42	40	40	66	48	54	26	21	0	320	118	191	20	12	67	0	6	63	10	9	0	44	24	21	0	37	76	0	0	8	0	0	6	10	0	16	0	9	0	51	3	48	0	0	16	0	34	22	9	11	0	20	0	16	7	38	4	7	0	0	8	6	10	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Coriobacteriales Incertae Sedis___g__Raoultibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Adlercreutzia	0	0	0	0	10	0	0	6	0	0	16	0	3	0	3	8	3	14	5	0	0	0	0	0	0	5	0	8	37	0	0	0	32	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Asaccharobacter	0	56	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	11	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Senegalimassilia	0	0	5	0	20	0	0	0	5	0	0	0	0	0	0	5	0	14	2	0	0	5	5	5	0	0	16	12	9	0	3	0	36	0	26	0	0	7	4	0	10	0	0	7	7	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	16	8	0	6	0	0	0	0	3	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia___o__Coriobacteriales___f__Eggerthellaceae___g__Slackia	0	0	4	56	13	0	0	15	0	0	0	66	0	0	4	12	0	33	0	2	0	42	10	4	0	0	11	8	5	0	2	0	15	16	0	0	0	63	0	0	61	0	0	0	16	0	49	0	7	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
