clade_name	sub-MIC015	sub-MIC105	sub-MIC104	sub-MIC103	sub-MIC102	sub-MIC101	sub-MIC100	sub-MIC099	sub-MIC098	sub-MIC014	sub-MIC097	sub-MIC096	sub-MIC095	sub-MIC094	sub-MIC093	sub-MIC092	sub-MIC091	sub-MIC090	sub-MIC088	sub-MIC087	sub-MIC013	sub-MIC085	sub-MIC084	sub-MIC083	sub-MIC082	sub-MIC081	sub-MIC080	sub-MIC079	sub-MIC078	sub-MIC077	sub-MIC076	sub-MIC012	sub-MIC073	sub-MIC072	sub-MIC071	sub-MIC070	sub-MIC069	sub-MIC068	sub-MIC065	sub-MIC064	sub-MIC063	sub-MIC061	sub-MIC010	sub-MIC060	sub-MIC059	sub-MIC057	sub-MIC056	sub-MIC053	sub-MIC052	sub-MIC051	sub-MIC049	sub-MIC048	sub-MIC017	sub-MIC016	sub-MIC003	sub-MIC002	sub-MIC047	sub-MIC009	sub-MIC046	sub-MIC045	sub-MIC044	sub-MIC043	sub-MIC042	sub-MIC041	sub-MIC040	sub-MIC039	sub-MIC038	sub-MIC037	sub-MIC008	sub-MIC036	sub-MIC035	sub-MIC034	sub-MIC033	sub-MIC032	sub-MIC031	sub-MIC029	sub-MIC028	sub-MIC027	sub-MIC026	sub-MIC005	sub-MIC025	sub-MIC024	sub-MIC023	sub-MIC022	sub-MIC021	sub-MIC020	sub-MIC019	sub-MIC018
k__Bacteria___p__Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	31	0	0	4	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	3	2	0	6	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Nitrospirota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Patescibacteria	0	0	0	0	5	0	0	0	0	0	0	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Planctomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria___p__Pseudomonadota	213	722	1087	553	7576	8298	944	23670	4846	621	864	1989	713	601	570	28304	1303	1484	861	14027	150	2391	226	7194	1010	1649	1061	6730	3548	4674	963	546	1623	1213	1546	1330	582	724	491	352	3357	1937	78	22	850	2909	1247	1540	428	871	131	152	397	459	613	361	180	161	236	82	333	403	148	450	80	2425	86	1159	330	162	160	1488	294	720	1546	301	200	53	204	45	705	1401	707	246	12152	469	4182	4631
k__Bacteria___p__Spirochaetota	0	0	0	0	0	0	0	0	4204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0	0	0	0	21272	0	0	13004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Synergistota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Thermodesulfobacteriota	20	319	150	27	69	77	4	264	505	3	6	426	167	11	146	309	131	295	7	93	2	69	72	632	83	247	566	51	513	104	0	2	26	45	64	19	97	168	647	27	25	0	18	10	79	7	103	0	65	100	2	0	7	4	0	10	38	19	0	0	3	0	43	0	190	0	8	6	26	0	4	19	4	16	18	155	17	0	11	167	45	14	7	16	11	0	0	3
k__Bacteria___p__Verrucomicrobiota	26	0	32	29	116	20	5	106	29	0	9	77	30	0	719	150	458	704	0	96	76	23	98	0	5	0	74	8	0	164	0	32	0	271	162	176	2534	1095	1536	0	404	0	23	8	10	6	452	0	358	161	0	58	4	0	11	122	4	6	115	12	11	0	72	0	19	0	0	4	110	0	0	0	0	21	489	1406	41	0	47	86	0	34	0	8	19	7	0	0
k__Archaea___p__Methanobacteriota___c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Acidobacteriota___c__Acidobacteriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria	2	660	37	110	121	58	6	11	0	17	9	25	60	579	172	18	0	37	746	5	186	0	129	71	185	0	61	61	58	49	38	2	2523	589	144	11	221	27	0	3	63	0	0	78	14	524	113	0	40	256	0	5	21	32	80	0	188	17	73	2	50	0	400	5	112	0	0	154	0	52	0	44	46	0	9	35	22	0	0	31	8	10	12	0	4	7	28	0
k__Bacteria___p__Actinomycetota___c__Coriobacteriia	0	95	95	74	127	17	38	126	33	9	24	83	83	19	90	204	37	223	73	23	9	50	74	82	50	45	131	80	105	89	182	0	492	134	217	20	54	150	7	10	169	10	9	23	67	24	80	0	55	123	0	0	8	11	0	6	10	0	16	0	9	7	79	3	95	0	3	16	0	37	22	12	13	5	26	16	24	7	49	4	7	0	0	17	6	10	0	0
k__Bacteria___p__Bacillota___c__Bacilli	13057	120	738	223	1344	209	2440	487	1202	17884	255	177	1304	367	460	579	555	796	393	424	13214	227	548	487	976	106	2641	4141	1929	1302	611	15039	5137	834	1234	137	10822	1200	891	85	1153	58	9500	241	589	932	675	879	748	21082	8607	10853	14273	12947	156	294	9010	5130	7562	7393	9516	3508	8350	8788	4921	5860	8555	3827	9546	13809	10587	3981	6775	3241	24694	8213	7661	983	4423	6128	2254	2186	3774	3751	3652	7794	12050	8472
