embedding_id	sub-MIC002	sub-MIC003	sub-MIC005	sub-MIC008	sub-MIC009	sub-MIC010	sub-MIC012	sub-MIC013	sub-MIC014	sub-MIC015	sub-MIC016	sub-MIC017	sub-MIC018	sub-MIC019	sub-MIC020	sub-MIC021	sub-MIC022	sub-MIC023	sub-MIC024	sub-MIC025	sub-MIC026	sub-MIC027	sub-MIC028	sub-MIC029	sub-MIC031	sub-MIC032	sub-MIC033	sub-MIC034	sub-MIC035	sub-MIC036	sub-MIC037	sub-MIC038	sub-MIC039	sub-MIC040	sub-MIC041	sub-MIC042	sub-MIC043	sub-MIC044	sub-MIC045	sub-MIC046	sub-MIC047	sub-MIC048	sub-MIC049	sub-MIC051	sub-MIC052	sub-MIC053	sub-MIC056	sub-MIC057	sub-MIC059	sub-MIC060	sub-MIC061	sub-MIC063	sub-MIC064	sub-MIC065	sub-MIC068	sub-MIC069	sub-MIC070	sub-MIC071	sub-MIC072	sub-MIC073	sub-MIC076	sub-MIC077	sub-MIC078	sub-MIC079	sub-MIC080	sub-MIC081	sub-MIC082	sub-MIC083	sub-MIC084	sub-MIC085	sub-MIC087	sub-MIC088	sub-MIC090	sub-MIC091	sub-MIC092	sub-MIC093	sub-MIC094	sub-MIC095	sub-MIC096	sub-MIC097	sub-MIC098	sub-MIC099	sub-MIC100	sub-MIC101	sub-MIC102	sub-MIC103	sub-MIC104	sub-MIC105
embedding_0010	0.81090385	0.8399707	0.80284095	0.8287666	0.75326496	0.7965035	0.82490814	0.83337563	0.81050736	0.8511508	0.8382308	0.79852605	0.77455115	0.82681704	0.8091124	0.80597556	0.83513504	0.84337	0.7594383	0.7934927	0.8399787	0.72572285	0.82729846	0.7950537	0.76768684	0.82024634	0.79034626	0.9341737	0.88960075	0.8352385	0.84072	0.80505896	0.81033444	0.8565164	0.8415632	0.8205704	0.8296391	0.8236624	0.8486866	0.74899656	0.81747764	0.82250977	0.79817736	0.7933415	0.82774216	0.88931	0.7833245	0.822257	0.8277427	0.83177614	0.77468884	0.83112586	0.8230827	0.8276511	0.7867622	0.8463899	0.76613355	0.8391605	0.77776283	0.8200753	0.8799895	0.8535654	0.7496512	0.81392264	0.84107006	0.7880052	0.8020711	0.8166627	0.7697492	0.75816983	0.84175867	0.8035738	0.80848604	0.81746596	0.8127311	0.794392	0.83743066	0.8482245	0.80241257	0.8454289	0.80788416	0.8008209	0.79617774	0.8432936	0.83051276	0.7970875	0.8504197	0.8244035
embedding_0011	0.49704933	0.4651986	0.54509825	0.465194	0.5012676	0.45571846	0.5127261	0.42564043	0.4771127	0.45079818	0.4713708	0.55595785	0.4594476	0.45309824	0.43426967	0.45105225	0.43367097	0.46732193	0.39642322	0.4220608	0.45243892	0.47861046	0.5078992	0.49035096	0.48692223	0.45540527	0.5380559	0.5032351	0.45634705	0.46344	0.4735654	0.40779266	0.44504616	0.48417407	0.4474129	0.51056623	0.5030325	0.42174134	0.47352424	0.39159918	0.40902093	0.39331454	0.49259403	0.43243635	0.42028877	0.5698374	0.47362253	0.4276586	0.45343894	0.49265295	0.49451116	0.45797393	0.44210202	0.4203658	0.46482953	0.47988555	0.46790975	0.480035	0.42074093	0.4396034	0.46624577	0.44986433	0.48305157	0.403955	0.5129031	0.4974581	0.44473144	0.46067587	0.47701952	0.3869852	0.4734202	0.50464934	0.41138852	0.40689617	0.4618278	0.48750895	0.46154806	0.42888832	0.4351657	0.4777987	0.44372225	0.49196985	0.49331775	0.39907733	0.46318287	0.4707291	0.3957962	0.45275334
embedding_0012	0.3731994	0.3381755	0.27837884	0.37350574	0.2631098	0.4042052	0.3281782	0.30214736	0.34085262	0.39050782	0.2803475	0.3912319	0.2919679	0.31118983	0.34206975	0.31297937	0.29014498	0.2942378	0.36078158	0.3192779	0.3221542	0.2815248	0.31162885	0.26443484	0.317789	0.3095335	0.26447234	0.3822414	0.3176751	0.3833172	0.30216312	0.29788187	0.3122842	0.30480933	0.364705	0.280395	0.32650042	0.37955958	0.3209058	0.41122636	0.38196945	0.42354667	0.281504	0.2773585	0.40064746	0.1873713	0.31295583	0.36067224	0.33656287	0.34544778	0.28315404	0.32750413	0.32565454	0.2858046	0.27063802	0.4384559	0.29532582	0.30796546	0.30270836	0.35370037	0.30955195	0.3496293	0.26976907	0.28162256	0.38374114	0.30695972	0.31084454	0.28936204	0.27782932	0.29039717	0.36442742	0.32801637	0.32597706	0.29665357	0.32576317	0.25597188	0.2868732	0.29457596	0.3510909	0.3417932	0.33994192	0.34270945	0.34102723	0.2644127	0.32141307	0.33425397	0.38972214	0.2993822
embedding_0013	0.4069117	0.5220334	0.41825464	0.43448088	0.36449552	0.5891835	0.44228238	0.4887478	0.46208167	0.5242958	0.40123332	0.39877212	0.4852361	0.41639063	0.4361526	0.473872	0.5015642	0.43173635	0.40727088	0.47276372	0.45027795	0.46583027	0.39415762	0.36197072	0.46092457	0.41139555	0.3499245	0.34855026	0.42882526	0.43755543	0.4505917	0.45025542	0.5424755	0.38986596	0.48501042	0.35272145	0.4019758	0.5435935	0.48244798	0.5254795	0.4474877	0.4569699	0.43297476	0.44957465	0.47662038	0.3136891	0.42723605	0.48183334	0.4748541	0.37677756	0.41358075	0.4876285	0.40633047	0.4207404	0.37736824	0.490094	0.38525808	0.42429745	0.3643459	0.46511433	0.40220606	0.4286925	0.40979064	0.41178387	0.4173388	0.47212732	0.44141322	0.4165675	0.42770547	0.48010603	0.4838195	0.45267922	0.45482457	0.4542134	0.4875693	0.42759043	0.48524737	0.40487632	0.46462265	0.41288352	0.51022685	0.38418463	0.4610798	0.4220713	0.47446954	0.49913153	0.5208434	0.42134967
embedding_0014	0.4380702	0.41642714	0.48766354	0.49716243	0.48432863	0.44225615	0.44655457	0.45420817	0.479497	0.48239455	0.4852813	0.41882062	0.39759806	0.4993434	0.45225486	0.4518929	0.47293878	0.45771188	0.4922394	0.50713784	0.45695424	0.4598014	0.44985086	0.43650922	0.49835965	0.48382047	0.3937908	0.52200043	0.5148467	0.50977755	0.42729172	0.51510406	0.4197522	0.46633124	0.5217536	0.4681919	0.48190883	0.5065191	0.4989832	0.45886272	0.54574627	0.46594906	0.41057625	0.4552934	0.468154	0.5019671	0.47085717	0.46963876	0.50984305	0.44905448	0.41290334	0.466195	0.43960407	0.4721485	0.4617861	0.4353026	0.42022914	0.4580466	0.48904088	0.4398845	0.5005424	0.42534858	0.4098255	0.47647846	0.4802783	0.47292238	0.4793484	0.4698338	0.47156993	0.5010993	0.4793236	0.46274042	0.44253606	0.50958145	0.37695608	0.4571867	0.38797826	0.43128464	0.4840939	0.4686514	0.50154686	0.47029173	0.47177932	0.470764	0.41909015	0.46931264	0.49766347	0.48367608
embedding_0015	-0.1168593	-0.018024378	0.018023616	0.024197424	-0.014370075	-0.2581706	-0.09379608	0.006083862	-0.026020223	0.014073507	-0.025514362	0.04695541	-0.08717786	0.008054118	0.00461701	-0.04891144	-0.096680135	0.015302226	-0.009471894	-0.047585536	-0.029084906	-0.039384253	-0.030195618	0.0060181674	-0.056733113	-0.002566794	-0.004880472	0.0020394095	0.06283682	0.004275109	-0.017390782	-0.07987228	-0.16716255	-0.013707179	-0.04028685	0.017300168	0.015209266	-0.126969	-0.048583236	-0.1811258	0.02146878	-0.06120858	-0.07080275	-0.07402038	-0.10974641	0.04635436	-0.0353411	-0.023481114	0.046002313	0.03768592	-0.023455545	-0.02191033	-0.061981596	-0.03207693	-0.0618718	0.009984843	0.033488486	-0.012497252	0.0007762091	-0.037162345	0.09649687	-0.076299034	0.027337948	0.014086482	0.084910415	-0.03915543	-0.008135621	-0.032188803	-0.053330917	0.0107458085	-0.025630709	-0.10796498	-0.09849615	0.08262217	-0.10736239	-0.003124106	-0.12349197	-0.06561816	-0.14252925	0.0071368744	0.01865517	0.044655897	-0.046721205	-0.031236842	-0.07456572	-0.07232924	-0.100889064	-0.08030103
embedding_0016	0.020309573	-0.019822732	-0.020305546	-0.028626446	-0.03975149	0.042475775	0.061492987	0.0047120783	-0.016644085	0.068406604	0.037484325	0.044273265	0.08511764	0.018380545	-0.039620653	0.01829436	0.041799553	0.015294082	-0.07957251	-0.017000439	-0.0387455	0.0036685334	0.028168578	0.012691694	0.05319124	0.024391383	-0.04814565	-0.0011564738	-0.076747864	-0.0047912425	-0.025035756	0.0360045	0.05241319	0.018558854	0.015935397	0.014196371	-0.0076730577	0.0061671105	0.0130718155	0.091328286	-0.032564852	-0.025679676	-0.009515591	0.04146921	0.021846786	0.019551257	-0.011981585	-0.04128107	0.022577627	0.00828341	0.058399238	0.04164154	0.03788588	0.030056754	0.05249461	0.076806605	-0.10196081	-0.006291377	0.02802209	0.00084324996	0.009317844	-0.020752773	0.0061851945	-0.016877009	-0.046975322	-0.0032201828	-0.022743551	-0.033497326	0.004985837	-0.0019096129	0.01422466	0.023855343	0.029245336	0.03457324	0.030328212	0.0036004854	-0.012766141	-0.0019738458	0.04337073	-0.028836863	0.009318776	-0.039201777	0.010385128	-0.014925341	0.008866101	0.043189622	-0.0435889	0.006602403
embedding_0017	0.6292326	0.5975969	0.62457687	0.59123313	0.6414443	0.708001	0.66029197	0.5817304	0.5488875	0.58913195	0.6406113	0.5991757	0.6975249	0.6642553	0.6321559	0.5881652	0.59324914	0.65145445	0.62754136	0.6827802	0.66478336	0.646774	0.553784	0.60446125	0.6635154	0.63706905	0.6228949	0.54492295	0.62029123	0.63932246	0.65558004	0.6431309	0.6613281	0.58975506	0.63196707	0.6901337	0.63226247	0.65504324	0.65610015	0.71319103	0.69231015	0.65989804	0.71039873	0.7107539	0.57968074	0.6558705	0.65412474	0.67754287	0.5810139	0.59249413	0.64418864	0.5979247	0.6117904	0.59005535	0.6516359	0.53198415	0.6831367	0.67372066	0.59557533	0.64422256	0.6126165	0.66457283	0.69518894	0.6495871	0.62779737	0.6814451	0.62901336	0.6651686	0.6968802	0.6329759	0.6484256	0.6758408	0.6757717	0.52593833	0.7057331	0.6650777	0.6663225	0.71906424	0.69987255	0.6045337	0.6217361	0.6475936	0.64630103	0.67178506	0.67620105	0.7344656	0.6688229	0.64401525
embedding_0018	-0.73118335	-0.7443764	-0.68083286	-0.71218413	-0.741448	-0.6747643	-0.7528083	-0.7405898	-0.70727795	-0.6882106	-0.7857416	-0.6697957	-0.71938425	-0.75947475	-0.7255088	-0.7236287	-0.6567053	-0.7216982	-0.6771008	-0.7041348	-0.68624115	-0.7157173	-0.75694084	-0.693502	-0.76712495	-0.6827599	-0.70829695	-0.76274616	-0.6564004	-0.7340022	-0.6770952	-0.71373326	-0.6953711	-0.7049785	-0.69281846	-0.6890803	-0.728703	-0.7829758	-0.6939147	-0.69306713	-0.69970655	-0.6291645	-0.68675214	-0.70598567	-0.6783383	-0.80774325	-0.72755563	-0.6968776	-0.7314962	-0.7042116	-0.6637394	-0.6884665	-0.68763465	-0.7175262	-0.7299671	-0.7137375	-0.6867245	-0.6887676	-0.74880886	-0.6975546	-0.6994532	-0.7411102	-0.74603826	-0.71151626	-0.6924802	-0.6930208	-0.719226	-0.71308637	-0.7461762	-0.72975343	-0.6731075	-0.68835413	-0.66747105	-0.6474198	-0.64550114	-0.710751	-0.67128754	-0.74113524	-0.6314917	-0.7429593	-0.67269266	-0.7029132	-0.6911288	-0.717984	-0.6667718	-0.7310404	-0.6731964	-0.7340288
embedding_0019	0.3032242	0.3853496	0.29358676	0.32552272	0.35627425	0.3952636	0.27449673	0.37730712	0.28981635	0.33218828	0.35552928	0.2856516	0.32769063	0.35933968	0.3603656	0.39875758	0.3190723	0.31858557	0.32891878	0.367974	0.35714024	0.38660997	0.29683745	0.34283978	0.41432855	0.2819962	0.40344566	0.34982756	0.3904506	0.3216613	0.38043267	0.3780379	0.3624723	0.2909844	0.30936053	0.3561652	0.33634076	0.36935028	0.38759932	0.34262767	0.39572045	0.35593373	0.4110267	0.38989833	0.31240594	0.34068477	0.32928416	0.36390823	0.341179	0.3964219	0.28667015	0.33772117	0.29209602	0.31194153	0.3617828	0.3201057	0.3741303	0.36598027	0.3446715	0.38336372	0.3305213	0.36221898	0.45833033	0.39629138	0.34459257	0.36463484	0.34602866	0.35532796	0.3629321	0.37594137	0.2959749	0.40744406	0.3051407	0.29758003	0.3689551	0.35125002	0.35157096	0.36094508	0.31349126	0.35845986	0.3173468	0.33469608	0.33523136	0.37532791	0.3516476	0.37970427	0.34035277	0.3444118
