clade_name	SRR11944139	SRR11944140	SRR11944141	SRR11944142	SRR11944143	SRR11944144	SRR11944145	SRR11944146	SRR11944147	SRR11944148	SRR11944149	SRR11944150	SRR11944151	SRR11944152	SRR11944153	SRR11944154	SRR11944155	SRR11944156	SRR11944157	SRR11944158	SRR11944159	SRR11944160	SRR11944161	SRR11944162	SRR11944163	SRR11944164	SRR11944165	SRR11944166	SRR11944167	SRR11944168	SRR11944169	SRR11944170	SRR11944171	SRR11944172	SRR11944173	SRR11944174	SRR11944175	SRR11944176	SRR11944177	SRR11944178	SRR11944179	SRR11944180	SRR11944181	SRR11944182	SRR11944183	SRR11944184	SRR11944185	SRR11944186	SRR11944187	SRR11944188	SRR11944189	SRR11944190	SRR11944191	SRR11944192	SRR11944193	SRR11944194	SRR11944195	SRR11944196	SRR11944197	SRR11944198	SRR11944199	SRR11944200	SRR11944201	SRR11944202	SRR11944204	SRR11944205	SRR11944206	SRR11944207	SRR11944208	SRR11944209	SRR11944210	SRR11944211	SRR11944212	SRR11944213	SRR11944214	SRR11944215	SRR11944216	SRR11944217	SRR11944218	SRR11944219	SRR11944220	SRR11944221	SRR11944222	SRR11944223	SRR11944224	SRR11944225	SRR11944226	SRR11944227	SRR11944228	SRR11944229	SRR11944230	SRR11944231	SRR11944232	SRR11944233	SRR11944234	SRR11944235	SRR11944236	SRR11944237	SRR11944238	SRR11944239	SRR11944240	SRR11944241	SRR11944242	SRR11944243	SRR11944244	SRR11944245	SRR11944246	SRR11944247	SRR11944248	SRR11944249
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Bifidobacterium	550	3305	141	775	378	518	2767	1121	284	763	5176	12	20	505	98	138	2795	582	3758	3881	949	0	2153	2477	0	3736	2893	917	325	86	2094	3250	4180	462	935	710	1031	1695	0	106	150	3372	1768	688	199	642	767	2811	381	159	514	91	648	85	3562	1640	4	3259	2184	3930	331	2787	1185	365	828	1270	2049	0	1027	60	10	938	243	545	2558	649	1001	219	0	2676	1047	4767	0	3229	3220	177	151	441	2620	1532	904	0	3191	538	8	1848	657	2710	0	0	0	38	390	956	984	366	2807	415	5836	4652
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Pseudoscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales___f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Corynebacteriales___f__Corynebacteriaceae___g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Micrococcales___f__Micrococcaceae___g__Rothia	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Propionibacteriales___f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Actinobacteriota___c__Actinobacteria___o__Propionibacteriales___f__Propionibacteriaceae___g__Pseudopropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
