clade_name	2001	2002	2003	2005	2006	2008	2009	2010	2011	2012	2013	2014	2016	2017	2018	2019	2021	2022	2023	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2046	2047	2049	2050	2051	2052	2053	2054	3001	3002	3003	3004	3005	3010	3011	3013	3014	3015	3016	3017	3018	3022	3026	3030	3031	3032	3036	3038	3039	3040	3042	3043	3045	3046	3047	3048	3050	3051	3053	3056	3057	3059	3060	3061	3063	3065	3066	3067	3068	3069	3070
k__Bacteria___p__Fusobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	6	0	7	0	0	0	0	0	117	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	3	0	0
k__Bacteria___p__Pseudomonadota	260	764	1164	761	82	714	543	1425	639	869	1893	0	1967	27	1221	168	703	2746	931	1281	1247	960	391	939	1257	1064	390	1612	914	672	1107	170	1373	976	20	6689	3976	1510	1503	105	52	3911	3	1284	524	1538	1487	999	430	1237	973	2857	1067	1443	889	2556	387	1708	23	2237	50	29	1689	2792	717	1440	2041	4063	3232	1002	1580	1076	685	3323	14402	1705	623	521	655	1943	3762	742	1144	864	1001	995	57	2062	283	3804
k__Bacteria___p__Spirochaetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Synergistota	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Thermodesulfobacteriota	0	177	236	162	0	131	121	293	11	61	19	0	478	336	282	69	79	342	84	273	91	351	168	219	152	194	59	272	536	274	4	0	315	89	0	0	247	105	133	144	0	696	122	180	0	222	141	464	725	30	45	422	183	353	359	3	0	0	88	496	22	0	167	415	424	0	333	524	483	174	92	176	9	598	410	0	0	243	398	235	365	239	88	132	0	0	34	34	463	331
k__Bacteria___p__Verrucomicrobiota	2	966	67	144	0	0	0	9	760	0	849	690	378	81	507	490	0	1903	0	311	122	1452	509	0	0	27	13	0	0	7	0	0	2221	0	66	0	404	33	168	763	0	356	0	0	0	347	115	11	1031	0	22	0	0	830	998	44	0	151	8	0	14	0	0	178	102	0	0	0	0	107	0	5	0	0	735	0	0	0	0	455	0	958	0	44	0	0	146	0	0	3632
k__Archaea___p__Methanobacteriota___c__Methanobacteria	0	102	0	104	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	46	0	0	48	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	124	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
k__Archaea___p__Thermoplasmatota___c__Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria___p__Actinomycetota___c__Actinobacteria	0	3222	628	2483	375	1808	154	2015	0	1461	118	661	2029	6443	178	482	338	177	493	3326	1065	178	7088	281	757	0	1094	1357	126	752	340	1485	29	297	40	20	290	170	157	0	0	272	1208	142	66	0	514	532	4640	390	309	129	433	520	0	2155	67	1675	0	187	1103	38	361	4	20	330	0	248	3900	32	386	21	2294	3842	883	639	16	8311	0	444	15	2373	147	216	144	0	304	1335	0	34
k__Bacteria___p__Actinomycetota___c__Coriobacteriia	82	288	150	394	18	18	51	67	178	118	31	13	56	817	58	22	86	16	74	416	80	67	163	104	38	122	224	99	113	32	89	19	100	118	6	20	110	125	101	27	5	54	252	321	54	153	156	372	312	208	111	0	148	238	124	8	78	7	116	10	4	5	237	7	241	125	59	83	1016	119	208	55	102	282	161	165	9	400	153	85	58	36	31	143	105	25	14	62	88	296
